fluent,value,tp,fp,fn,precision,recall,f1
person,true,2139403,0,0,1.0,1.0,1.0
close_25,true,10160,0,0,1.0,1.0,1.0
close_30,true,41880,0,0,1.0,1.0,1.0
close_34,true,72880,0,0,1.0,1.0,1.0
close_34,false,29225365,0,0,1.0,1.0,1.0
closeSymmetric_30,true,41880,0,0,1.0,1.0,1.0
activeOrInactivePerson,true,521560,0,0,1.0,1.0,1.0
moving,true,41600,0,0,1.0,1.0,1.0
meeting,true,4120,0,0,1.0,1.0,1.0
greeting1,true,2320,0,0,1.0,1.0,1.0
fighting,true,5680,0,0,1.0,1.0,1.0
avgscores,micro,32106848,0,0,1.0,1.0,1.0
avgscores,macro,-1,-1,-1,1.0,1.0,1.0
